keys,en
Novo Jogo,New Game
Carregar,Load
Opções,Settings
Créditos,Credits
Sair,Quit
Audio,Audio
Video,Video
Controles,Controls
Idioma,Language
Master,Master
Música,Music
Som,SFX
Resolução,Resolution
Modo de Janela,Window Mode
Vsync,Vsync
Restaurar Padrões,Restore Defaults
Cima,Up
Baixo,Down
Esquerda,Left
Direita,Right
Esquivar,Evade
Correr,Run
Interagir,Interact
Usar Item,Use Item
Ataque Leve,Light Attack
Ataque Pesado,Heavy Attack
Diálogo,Dialogue
Menu,Menu
Pressione uma tecla...,Press a key...
Botão {0},Button {0}
Eixo {0} {1},Axis {0} {1}
Janela,Window
Tela Cheia,Fullscreen
Sem Bordas,Borderless
Começar,Start
Configurações,Settings
Teclado,Keyboard
Controle,Game Pad

